User_id,Registration number,predicted_rating
0,7430,1.5102618692238303
0,1480,1.5102618692238303
0,7113,1.9206018616724438
0,2955,0.9940869017245434
0,8397,1.9206018616724438
0,2190,0.9940869017245434
0,2959,1.5102618692238303
0,7503,1.9206018616724438
0,3769,0.9940869017245434
0,2643,1.5102618692238303
0,2839,0.9940869017245434
0,3224,0.9940869017245434
0,2775,0.9940869017245434
0,3166,0.9940869017245434
0,8223,0.9940869017245434
0,480,1.9206018616724438
0,6817,1.9206018616724438
0,1634,1.7266825746591221
0,8995,1.9206018616724438
0,1773,1.9206018616724438
0,3635,1.9206018616724438
0,2486,1.9206018616724438
0,7993,0.9940869017245434
1,7430,1.7032109667928248
1,2119,1.4371384526280504
1,1480,1.7032109667928248
1,7113,2.1659754644566283
1,2955,1.121090154936176
1,8397,2.1659754644566283
1,2190,1.121090154936176
1,2959,1.7032109667928248
1,7503,2.1659754644566283
1,3769,1.121090154936176
1,2643,1.7032109667928248
1,2839,1.121090154936176
1,3224,1.121090154936176
1,2775,1.121090154936176
1,3166,1.121090154936176
1,8223,1.121090154936176
1,480,2.1659754644566283
1,6817,2.1659754644566283
1,1634,1.9472813008520884
1,8995,2.1659754644566283
1,1773,2.1659754644566283
1,3635,2.1659754644566283
1,2486,2.1659754644566283
2,7430,1.7032109667928248
2,2119,1.4371384526280504
2,1480,1.7032109667928248
2,7113,2.1659754644566283
2,2955,1.121090154936176
2,8397,2.1659754644566283
2,2190,1.121090154936176
2,2959,1.7032109667928248
2,7503,2.1659754644566283
2,3769,1.121090154936176
2,2643,1.7032109667928248
2,2839,1.121090154936176
2,3224,1.121090154936176
2,3166,1.121090154936176
2,8223,1.121090154936176
2,480,2.1659754644566283
2,6817,2.1659754644566283
2,1634,1.9472813008520884
2,8995,2.1659754644566283
2,1773,2.1659754644566283
2,3635,2.1659754644566283
2,2486,2.1659754644566283
2,7993,1.121090154936176
3,7430,1.7032109667928248
3,2119,1.4371384526280504
3,1480,1.7032109667928248
3,7113,2.1659754644566283
3,2955,1.121090154936176
3,8397,2.1659754644566283
3,2190,1.121090154936176
3,2959,1.7032109667928248
3,7503,2.1659754644566283
3,3769,1.121090154936176
3,2643,1.7032109667928248
3,3224,1.121090154936176
3,2775,1.121090154936176
3,3166,1.121090154936176
3,8223,1.121090154936176
3,480,2.1659754644566283
3,6817,2.1659754644566283
3,1634,1.9472813008520884
3,8995,2.1659754644566283
3,1773,2.1659754644566283
3,3635,2.1659754644566283
3,2486,2.1659754644566283
3,7993,1.121090154936176
4,7430,2.994224373281371
4,2119,2.5264720968428374
4,1480,2.994224373281371
4,7113,3.8077587885766286
4,2955,1.9708629946627167
4,8397,3.8077587885766286
4,2190,1.9708629946627167
4,2959,2.994224373281371
4,7503,3.8077587885766286
4,3769,1.9708629946627167
4,2839,1.9708629946627167
4,3224,1.9708629946627167
4,2775,1.9708629946627167
4,3166,1.9708629946627167
4,8223,1.9708629946627167
4,480,3.8077587885766286
