,User_id,Registration number,rating
52975,0,2119,1.0
199826,1,7993,1.0
69377,2,2775,1.0
70978,3,2839,1.0
66079,4,2643,3.0
73980,5,2959,3.0
185756,6,7430,3.0
40857,7,1634,4.0
209933,8,8397,5.0
224884,9,8995,5.0
90885,10,3635,5.0
170436,11,6817,5.0
62162,12,2486,5.0
52988,13,2119,5.0
44339,14,1773,5.0
187590,15,7503,5.0
177841,16,7113,5.0
80617,17,3224,1.0
79168,18,3166,1.0
54769,19,2190,1.0
37020,20,1480,3.0
73896,21,2955,1.0
94247,22,3769,1.0
205598,23,8223,1.0
12024,24,480,5.0
